organizers,address,datetimes,description,event_url,categories,name,place,label,label_b,label_c,label_d
['IEPP'],"Avenida Bagé, 368, 90460-080 Porto Alegre",['2019-01-17 07:00:00'],O curso apresenta uma visão integrada da prática clinica e do entendimento psicodinâmico na abordagem dos principais transtornos alimentares,https://www.facebook.com/events/1986375011667042,,Pensar o Corpo: Transtornos Alimentares,IEPP,,,,
['Núcleo Médico Psicológico'],"Avenida Assis Brasil, 3532, sala 515, 91010003 Porto Alegre",['2019-03-16 08:30:00'],"5º Turma: Especialização em Neuropsicologia - Avaliação e Reabilitação - TURMA CONFIRMADA!!!<br>PÚBLICO: Psicólogos<br>OBJETIVO: Formar profissionais com os mais sólidos conhecimentos em Neuropsicologia (Avaliação e Reabilitação Neuropsicológica) e com habilidade para realizarem avaliação neuropsicológica e reabilitação em diferentes contextos.<br>CONTEÚDO (preliminar): Neuropsicologia: histórico e conceitos básicos, Ética Profissional , Metodologia de Pesquisa, Pesquisa em neuropsicologia, Psicometria aplicada à Avaliação neuropsicológica, O processo de Avaliação Neuropsicológica, Psicopatologia, Avaliação das habilidades específicas: inteligência, atenção, cognição, memória e linguagem, Funções Executivas, Reabilitação Neuropsicológica, Testes Neuropsicológicos, Laudos e Documentos Neuropsicológicos, Prática Supervisionada, Seminários Clínicos, Orientação do TCC.<br>DATA, HORÁRIO, PERIODICIDADE (preliminar): Mensalmente<br>Sábados das 8:30 as 18h<br>Horários extras para Supervisões, Práticas e Orientação para TCC. <br>16/03/2019; início - sábado<br>27/04/2019; <br>18/05/2019; <br>15/06/2019; <br>13/07/2019;<br>17/08/2019;<br>14/09/2019;<br>19/10/2019;<br>23/11/2019;<br>14/12/2019;<br>18/01/2020; <br>Fevereiro férias;<br>14/03/2020;<br>18/04/2020;<br>16/05/2020;<br>20/06/2020; <br>11/07/2020;<br>19/09/2020; <br>CARGA HORÁRIA E DURAÇÃO: 18 meses, 360 horas incluindo TCC.<br>CORPO DOCENTE: Professores, mestres, doutores e especialistas das áreas<br>Professores Convidados:<br>• Regina M. Lopes – Pós-Doutorado<br>• Irani de Lima Argimon (PUCRS) - Doutora<br>• Cristina Armani Madeira – Mestre e Especialista<br>• Clarissa Trentini (UFRGS) - Doutora<br>• Roberta Fernandes Lopes do Nascimento – Mestre e Especialista<br>• Jaqueline de Carvalho Rodrigues - Doutora<br>• Maria Inês Dornelles da Costa Ferreira – Doutora<br>• Luciana Azambuja (ULBRA) – Doutora<br>• Dr. Ronald Maeso Montes - Médico Neurologista - Doutor<br>• Marianne Farina – Doutoranda<br>• Murilo Ricardo Zibetti – Doutor<br>• Adriane Mokwa Zanini – Doutora<br>• Entre outros.<br>INSCRIÇÃO: Enviar currículo, preencher ficha e entregar documentos<br>E-mail: pos@nucleomp.com.br<br>WHATSAPP (51) 99964-4919 OU 999336784<br>ENDEREÇO: Av. Assis Brasil, 3532 salas 513 e 515 - Junto ao<br>Shopping Lindóia – Porto Alegre-RS<br>INSCREVA-SE AGORA VAGAS LIMITADAS<br>* Caso haja desistência do curso a matricula não será ressarcida, pois ela serve para preparação de todo material ao aluno.",https://www.facebook.com/events/842901972766577,['Health'],5º Turma: Especialização em Neuropsicologia,Núcleo Médico Psicológico,,,,
['Esipp Estudos Integrados De Psicoterapia Psicanalítica'],"Rua Eng Ildefonso Simões Lopes, 115, 91330180 Porto Alegre","['2019-05-24 09:00:00', '2019-05-25 09:00:00']",Programe-se para a XXII Jornada do Esipp!,https://www.facebook.com/events/178498983093448,,Quando o Psicoterapeuta se Torna Estúpido: XXII Jornada do ESIPP,Esipp Estudos Integrados De Psicoterapia Psicanalítica,,,,
['Núcleo Médico Psicológico'],"Avenida Assis Brasil, 3532, sala 515, 91010003 Porto Alegre",['2019-01-18 09:00:00'],"          25º Curso: Técnica de Zulliger (Individual e Coletivo)<br>                        30% CURSOS DE VERÃO<br>PÚBLICO ALVO:<br>Psicólogos e Estudantes de Psicologia.<br>OBJETIVO:<br>Fornecer os fundamentos teóricos e práticos do Teste Zulliger formas individual e Coletiva como instrumento na avaliação psicológica. Aperfeiçoar e capacitar psicólogos e estudantes de psicologia para aplicação, correção e análise do teste Zulliger no sistema Klopfer <br>CONTEÚDO:<br>Forma Individual: Abordagem kopfler<br>Instruções e regras para obter associações e realizar o inquérito<br>Aplicação individual<br>Cálculo e interpretação do sumário estrutural<br>Vivência: intro e extroversão; Processamento da informação; Mediação (percepção da realidade); Ideação (uso da imaginação); Controle emocional; Relacionamento interpessoal; Autopercepção<br>Forma Coletiva: Abordagem Kopfler<br>Aplicação; Localização; Determinantes; Conteúdos<br>Interpretação<br>Exercícios práticos de análise e síntese<br>DATA E HORÁRIO:<br>Dia 18 de janeiro de 2019 – Sexta-feira<br>Das 9h às 17h<br>Formas de Pagamento<br>Efetuar Pagamento Total ou Parcial (30%), para EFETIVAR sua inscrição.<br>1.Depósito Bancário<br>Dados Bancários Banrisul<br>Núcleo Médico Psicológico<br>Agência: 0042 conta: 068544080-7<br>cnpj: 059923460001-37<br>ou<br>2. Cartão<br>Parcelamento nos cartões os cartões de crédito e débito: Banricompras, Dinners, Hipercard, Visa e Mastercard em até 6x SEM JUROS (parcela mínima R$ 50,00).<br>LIGAR PARA FAZER INSCRIÇÃO ON-LINE OU PELO SITE<br>Diferenciais:<br>NÃO COBRAMOS TAXA DE MATRÍCULA<br>FORNECEMOS APOSTILA DOS CURSOS<br>FORNECEMOS CERTIFICADO<br>ENFOQUE PRÁTICO NOS CURSOS MINISTRADOS<br>PROFESSORES QUALIFICADOS E ESPECIALIZADOS<br>AMBIENTE CLIMATIZADO<br>LOCALIZAÇÃO PRIVILEGIADA JUNTO AO SHOPPING LINDÓIA<br>TURMAS COM NÚMERO REDUZIDO DE ALUNOS<br>OBSERVAÇÕES IMPORTANTES:<br>Para efetivar sua inscrição deverá ser realizado um depósito de no mínimo 30% do valor do curso, em caso de não comparecimento no curso, este valor não será restituído. Em caso de desistência por parte do aluno as aulas assistidas não serão restituídas e a Núcleo Médico Psicológico compromete-se a devolver 70% do valor pago, referente ao restante do curso.<br>Caso não tenha o mínimo de alunos inscritos para a realização do curso, reservamo-nos o direito de efetuar o cancelamento do curso. Neste caso, entraremos em contato com os inscritos no prazo de até 24h antes do início para comunicar o cancelamento e obter informações para devolução de seu investimento. O Certificado será entregue no dia do curso, somente para alunos que tiverem no mínimo 75% de frequência.<br>Informações<br>(51) 3350-5033 / 3350-5042 / 99964-4919 (WhatsApp)",https://www.facebook.com/events/365399300673111,['Health'],25º Curso: Técnica de Zulliger (Individual e Coletivo) 30% OFF,Núcleo Médico Psicológico,,,,
['Núcleo de Psicologia Positiva'],"Plinio Brasil Milano 232, 90520001 Porto Alegre","[None, None]","WORKSHOP - VULNERABILIDADE E EMPATIA<br>O workshop tem como objetivo educar o público sobre os benefícios para o bem-estar e saúde mental do contato com a vulnerabilidade. Segundo o trabalho em temáticas como vergonha, coragem, vulnerabilidade e autenticidade da pesquisadora Brené Brown, expor as emoções de forma adequada e demonstrar inseguranças é caminho essencial para conexões autênticas em diversos contextos.<br>O medo da exposição do que frequentemente consideramos como “fragilidades” nos impede de arriscar e de agir espontaneamente, sendo considerável fonte de ansiedade e de evitação de experiências importantes e desejadas. Reconhecer nossos sentimentos desagradáveis como parte natural do ser humano é um passo importante para relações mais horizontais e para exercer a empatia de forma genuína.<br>Vulnerabilidade e Empatia são passíveis de desenvolvimento, como habilidades treináveis, por isso, através de experiências de interação conduzidas pelos membros do Via Empática, os participantes poderão experimentar de forma leve e dinâmica os conceitos-chave propostos.<br>Terça – Vulnerabilidade e Conexão<br>Com Rafael Ruschel, psicólogo clínico, coordenador do Núcleo de Psicologia Positiva.<br>Quinta – Práticas em Empatia<br>Com a equipe do Via Empática, Leonardo Silva e Ana Portillo Anicet.",https://www.facebook.com/events/377432403005830,['Wellness'],Workshop - Vulnerabilidade e Empatia,Núcleo de Psicologia Positiva,,,,
['Núcleo Médico Psicológico'],"Avenida Assis Brasil, 3532, sala 515, 91010003 Porto Alegre",['2019-01-23 09:00:00'],"11º Curso: Avaliação Psicológica para Pilotos e Comissários de Bordo!                 <br>                      20% CURSOS DE VERÃO<br>Exclusivo para Psicólogos, Estudantes de Psicologia<br>Objetivo<br>Capacitar profissionais e estudantes da psicologia para trabalhar com Avaliação Psicológica para Pilotos e Comissários de bordo<br>Instrumentalizar os participantes à compreensão, utilização de instrumentos psicológicos e elaboração de Laudos Psicológicos dentro dos princípios técnicos e éticos.<br>Conteúdo<br>Normas Reguladoras das Avaliações Psicológicas -aspectos teóricos conforme ANAC. <br>Objetivos da Avaliação Psicológica para Pilotos e Comissários de Bordo;<br>Aspectos práticos e Éticos a serem avaliados;<br>Técnicas de Avaliação Psicológica;<br>Planejamento do processo de Avaliação Psicológica;<br>Entrevista Psicológica específica no contexto da aviação;<br>Principais instrumentos psicológicos utilizados, a maioria dos testes com correção informatizada;<br>Elaboração de Laudo Psicológico (Tipos de Informes);<br>Entrevista de Devolução de Resultados;<br>Casos;<br>ADQUIRA TAMBÉM OS TESTE CONOSCO COM PREÇOS E CONDIÇÕES ESPECIAIS - WHATSAPP (51) 9964-4919 OU 99336784<br>Datas do Curso<br>23/01/2019 – quarta-feira- das 9h as 17h<br>Horário - Carga Horária<br>9 horas/aula<br>Ministrante e Coordenação<br>Regina Maria Fernandes Lopes: CRP 07/10910 - Psicóloga (PUCRS), Pós Doutora e Mestre em Psicologia PUCRS, Especialista em Reabilitação Neuropsicológica ( FMUSP), Especialista em Avaliação Psicológica pela UFRGS, Supervisora e Professora dos cursos de extensão do Núcleo Médico Psicológico, Experiência em avaliação psicológica, neuropsicológica e Jurídicaaplicada a diferentes contextos. Credenciada pelo Fórum para realização de avaliações jurídicas. Credenciada pela Polícia Federal para avaliação de Porte de Arma. Ganhadora do Prêmio Top Of Business 2009. Membro do IBAP (Instituto Brasileiro de Avaliação Psicológica). Professora da Universidade de Santa Cruz em cursos de Pós-Graduação em Avaliação Psicológica. Membro do IBNeC-Instituto Brasileiro de Neuropsicologia e Comportamento. Professional Self Coaching CertifiedCoach pela ECA - European Coaching Association (Alemanha/ Suiça) GCC - Global Coaching Community (Alemanha) e METAFORUM INTERNATIONAL (Itália/Alemanha).<br>Roberta F. L. do Nascimento (coordenação): CRP 07/12399 - Psicóloga- Mestre em Psicologia– PUCRS – Intervenção e Avaliação Psicológica no Ciclo Vital (PUCRS - Colocação: 1º lugar), Consultora Organizacional e de Carreira, Perita Examinadora do Trânsito - DETRAN – N°: 036/04, Professional Self Coaching Certified Coach pela ECA - European Coaching Association (Alemanha/ Suiça) GCC - Global Coaching Community (Alemanha) e METAFORUM INTERNATIONAL (Itália/Alemanha), Supervisora e Professora do Núcleo Médico Psicológico nas Disciplinas de RH e Avaliação Psicológica. Credenciada pela Polícia Federal para avaliação de Porte de Arma. Ganhadora do Prêmio Top Of Business 2009. Habilitada para elaboração de questões de prova aos concursos para cargo de Psicólogo. Atuaç&atil de;o em empresas de grande porte nacionais e multinacionais. Diversas publicações de artigos em Revistas e jornais conceituados (Vide GOOGLE ou outros sites de busca).<br>(*) Desconto para estudantes de graduação mediante comprovação de matrícula e se aplica SOMENTE quando o pagamento for efetuado por pessoa física.<br>BOLETO: TAXA BANCÁRIA DE R$ 5,00 - PARA PAGAMENTO EM BOLETO SOMENTE COM EMISSÃO 10 DIAS ANTES DO CURSO.<br>FORMAS DE PAGAMENTO<br>1.Depósito Bancário<br>Dados Bancários Banrisul<br>Núcleo Médico Psicológico<br>Agência: 0042 conta: 068544080-7<br>cnpj: 059923460001-37<br>ou<br>2. Cartão<br>Parcelamento nos cartões os cartões de crédito e débito: Banricompras, Dinners, Hipercard, Visa e Mastercard em até 6x SEM JUROS (parcela mínima R$ 60,00).<br>LIGAR PARA FAZER INSCRIÇÃO ON-LINE OU PELO SITE<br>Diferenciais:<br>• NÃO COBRAMOS TAXA DE MATRÍCULA<br>• FORNECEMOS APOSTILA DOS CURSOS<br>• FORNECEMOS CERTIFICADO<br>• ENFOQUE PRÁTICO NOS CURSOS MINISTRADOS<br>• PROFESSORES QUALIFICADOS E ESPECIALIZADOS<br>• AMBIENTE CLIMATIZADO<br>• LOCALIZAÇÃO PRIVILEGIADA JUNTO AO SHOPPING LINDÓIA<br>• TURMAS COM NÚMERO REDUZIDO DE ALUNOS<br>OBSERVAÇÕES IMPORTANTES:<br>Para efetivar sua inscrição deverá ser realizado um depósito de no mínimo 20% do valor do curso, em caso de não comparecimento no curso, este valor não será restituído. Em caso de desistência por parte do aluno as aulas assistidas não serão restituídas e a Núcleo Médico Psicológico compromete-se a devolver 80% do valor pago, referente ao restante do curso.<br>Caso não tenha o mínimo de alunos inscritos para a realização do curso, reservamo-nos o direito de efetuar o cancelamento do curso. Neste caso, entraremos em contato com os inscritos no prazo de até 24h antes do início para comunicar o cancelamento e obter informações para devolução de seu investimento. O Certificado será entregue no dia do curso, somente para alunos que tiverem no mínimo 75% de frequência.<br>Informações<br>(51) 3350-5033 / 3350-5042 / 9933-6785 / 9303-5913 (WhatsApp)",https://www.facebook.com/events/508400339652721,['Health'],11º Curso: Aval Psicológica P/ Pilotos e Comissários de Bordo,Núcleo Médico Psicológico,,,,
['ASALA'],"Rua Cel Bordini 1665, 90440-001 Porto Alegre","['2019-01-28 14:00:00', '2019-01-29 14:00:00', '2019-01-30 14:00:00']"," te convida a participar do curso intensivo de FOTOGRAFIA HÍBRIDA!<br>.<br>A Fotografia HÍbrida surgiu nos meados da segunda metade do século XIX e ganhou força com a chegada do movimento Pictorialista. Está centrada na experiência do fazer artístico caracterizada pelo entrelaçamento dos meios e recursos, enfatizando a ideia e os efeitos do sentido transmitido através da sua criação. <br>Este curso tem como objetivo explorar métodos e técnicas para a prática de pós-produção manual, através da intervenção direta em fotografia impressa. Serão abordados a função e a intenção de cada técnica. Elaboração de diferentes formas de produção, combinação de técnicas e conceito a fim de estimular a criação livre das amarras da fotografia tradicional.<br>° Pré-requisitos:<br>Não há pre-requisitos<br>° Cronograma:<br>Aula 1<br>- Apresentação o curso: <br>     Afinal, o que é Fotografia Híbrida?<br>     Por que e quando intervir na fotografia?<br>- Bordado<br>- Conceito e referências<br>- Pontos, formatos e visualidades<br>- Prática<br>Aula 2<br>- Colagem <br>- A materialidade de transcende o papel<br>- Referencial<br>- Prática<br>Aula 3<br>- Encaústica com giz de cera<br>- Conceito e utilizações<br>- Referencial<br>- Prática<br>Aula 4<br>- Remoção de camadas e rasuras<br>- Ganhos e perdas na intervenção<br>- Referencial<br>- Prática<br>° A oficineira:<br>Dayane de Alencar é artista visual e fotógrafa que utiliza a arte para expressar sua singularidade. Trabalha com fotografia desde 2014 com foco em fotografia artística, mas tem ampla experiência com eventos variados, ensaios, campanhas e publicidade.<br>Dayane é graduada em Artes Visuais pela UFPI, em Fotografia Artística pela EFA/Porto Alegre e agora, além fotógrafa, atua como ministrante de workshops de artes visuais e fotografia.<br>° Portfólio: <br>° Local: Local: Rua Cel Bordini, 1665 - Porto Alegre<br>° Número de vagas: <br>Máximo de 8 alunos e mínimo 3<br>° Inscrições e informações:<br>E-mail: asalapoa@gmail.com<br>Whats: (51) 993363100<br>Facebook: ",https://www.facebook.com/events/2236008303277919,['Art'],Curso Intensivo de Fotografia Híbrida - Mód.I,ASALA,cult,,,
['IEPP'],"Avenida Bagé, 368, 90460-080 Porto Alegre","['2019-01-12 09:30:00', '2019-03-09 09:30:00', '2019-04-13 09:30:00']","O Núcleo da Adoção do IEPP propõe neste grupo um espaço de apoio e reflexão acerca de questões pertinentes ao processo de adoção para pais adotivos e pretendentes à adoção.<br>A travessia feita pelos pais, desde o desejo de adotar, passando pelas dúvidas, angústia pela espera, até a adoção propriamente dita, exige adaptações e recursos emocionais para lidar com os mais diversos sentimentos. O Grupo de Apoio Travessia pretende acompanhar os pais neste percurso. A participação de pais adotivos e também candidatos visa enriquecer os encontros com as trocas de experiências.<br>O grupo é gratuito e aberto para entrada de novos participantes no decorrer dos encontro",https://www.facebook.com/events/285851975616522,['Causes'],Travessia: Grupo de adoção 2019,IEPP,,,,
['Núcleo Médico Psicológico'],"Avenida Assis Brasil, 3532, sala 515, 91010003 Porto Alegre",['2019-01-24 08:30:00'],"16º Curso Capacitação em Avaliação Psicológica para Porte de Arma - 80h - SEMI PRESENCIAL -20% CURSOS DE VERÃO<br>Público Alvo<br>Psicólogos ativos<br>Objetivo<br>Capacitar os psicólogos nas técnicas de  avaliação psicológica para porte de arma. Ensinar aos  profissionais o uso de instrumentos científicos, para a prática da avaliação psicológica com foco ao porte de arma de fogo.<br>Conteúdo<br>Resoluções <br>Entrevistas na avaliação psicológica <br>A escolha dos instrumentos psicológicos<br>Instrumentos: escalas, inventários, testes projetivos, testes expressivos  e testes  de habilidades específicas.<br>Serão estudados no mínimo 15 testes psicológicos (aplicação, levantamento dos dados, interpretação e síntese de cada teste).<br>Laudo psicológico.<br>Orientações para credenciamento<br>Conteúdo programático e datas poderão sofrer alteração conforme as necessidades.<br>Tempo de Duração<br>JANEIRO 2019 <br>Datas do Curso<br>24/01/2019 - Quinta-feira - Módulo I <br>25/01/2019 - Sexta-feira - Módulo II  <br>26/01/2019 - Sábado - Módulo III<br>Além da carga horária presencial, o aluno complementara a carga horaria total com atividades de treinamento, supervisionadas, conforme as orientações em sala de aula.<br>Horário <br>modulo 1 ao 3 - das 8h30m as 17h30m<br>Carga Horária do Curso: 80h<br>Presencial (prática e teóricas): 40h<br>Relatórios de leitura: 20h<br>Aplicação de testes extra classe e supervisão: 20h<br>Professores coordenadores:<br>Dra. Regina M. Lopes: CRP 07/10910 - Psicóloga (PUCRS), Pós - Doutorado (PUCRS) , Doutorado (PUCRS), Mestre em Psicologia (PUCRS), Especialista em Avaliação Psicológica (UFRGS), Especialista em Reabilitação Neuropsicológica (FMUSP), Supervisora e Professora dos cursos de extensão do Núcleo Médico Psicológico, Experiência em avaliação psicológica, neuropsicológica e Jurídica. Credenciada pelo Fórum para realização de avaliações jurídicas. Credenciada pela Polícia Federal para avaliação de Porte de Arma. Ganhadora do Prêmio Top Of Business 2009. Membro do IBAP (Instituto Brasileiro de Avaliação Psicológica). Professora da Universidade de Santa Cruz em cursos de Pós-Graduação em Avaliação Psicológica. Membro do IBNeC-Instituto Brasileiro de Neuropsicologia e Comportamento. Diversas publicações de artigos em Revistas e jornais conceituados. Professional Self Coaching Certified Coach pela ECA - European Coaching Association (Alemanha/ Suiça) GCC - Global Coaching Community (Alemanha) e METAFORUM INTERNATIONAL (Itália/Alemanha).<br>Me. Roberta F. L. do Nascimento: CRP 07/12399 - Psicóloga- Mestre em Psicologia (PUCRS) – Intervenção e Avaliação Psicológica no Ciclo Vital (PUCRS - Colocação: 1º lugar), Consultora Organizacional e de Carreira, Perita Examinadora do Trânsito - (DETRAN) – N°: 036/04, Professional Self Coaching Certified Coach pela ECA - European Coaching Association (Alemanha/ Suiça) GCC - Global Coaching Community (Alemanha) e METAFORUM INTERNATIONAL (Itália/Alemanha), Supervisora e Professora do Núcleo Médico Psicológico nas Disciplinas de RH e Avaliação Psicológica. Credenciada pela Polícia Federal para avaliação de Porte de Arma. Ganhadora do Prêmio Top Of Business 2009. Habilitada para elaboração de questões de prova aos concursos para cargo de Psicólogo. Atuaç&atil de;o em empresas de grande porte nacionais e multinacionais. Diversas publicações de artigos em Revistas e jornais conceituados (Vide GOOGLE ou outros sites de busca).<br>Me. Cristina Armani Madeira – CRP 07/ 07653 – Graduada em Psicologia -ULBRA , Mestre em Psicologia – USF ênfase em Avaliação Psicológica, Pós Graduação em Diagnostico Psicológico- PUC, Especialista em Psicologia do Trânsito - CFP. Credenciada pela Polícia Federal para Avaliação de Porte de Arma. Atualmente trabalha como psicóloga - Consultório Particular, com avaliação psicológica, psicodiagnóstico, avaliação para porte de arma, avaliação em concurso público e psicóloga do Conselho Estadual de Trânsito com avaliação psicológica para CNH em grau de recurso. Foi Conselheira do CRP 07, Presidente da Comissão de Trânsito e foi membro da Comissão de Avaliação psicológica. Atuou como docente nas Universidades UNISINOS, ULBRA, FIJO-PUC, UNISC e UPF.<br>Formas de Pagamento<br>1.Depósito Bancário<br>Dados Bancários Banrisul<br>Núcleo Médico Psicológico<br>Agência: 0042 conta: 068544080-7<br>cnpj: 059923460001-37<br>ou<br>2. Cartão<br>Parcelamento nos cartões os cartões de crédito e débito: Banricompras, Dinners, Hipercard, Visa e Mastercard em até 6x SEM JUROS (parcela mínima R$ 60,00).<br>LIGAR PARA FAZER INSCRIÇÃO ON-LINE OU PELO SITE<br>Diferenciais:<br>NÃO COBRAMOS TAXA DE MATRÍCULA<br>FORNECEMOS APOSTILA DOS CURSOS<br>FORNECEMOS CERTIFICADO<br>ENFOQUE PRÁTICO NOS CURSOS MINISTRADOS<br>PROFESSORES QUALIFICADOS E ESPECIALIZADOS<br>AMBIENTE CLIMATIZADO<br>LOCALIZAÇÃO PRIVILEGIADA JUNTO AO SHOPPING LINDÓIA<br>TURMAS COM NÚMERO REDUZIDO DE ALUNOS<br>VENDA DOS TESTES PSICOLÓGICOS<br>OBSERVAÇÕES IMPORTANTES:<br>Para efetivar sua inscrição deverá ser realizado um depósito de 30% do valor do curso, em caso de não comparecimento no curso, este valor não será restituído. Em caso de desistência por parte do aluno do curso de formação serão restituídas parcialmente o valor pago e a Núcleo Médico Psicológico compromete-se a devolver 70% do valor do curso não assistido. <br>Caso não tenha o mínimo de alunos inscritos para a realização do curso, reservamo-nos o direito de efetuar o cancelamento do curso. Neste caso, entraremos em contato com os inscritos no prazo de até 24h antes do início para comunicar o cancelamento e obter informações para devolução de seu investimento. O Certificado será entregue no  final do curso, somente para alunos que tiverem no mínimo 75% de frequência e entregas das atividades durante o curso. <br>Informações<br>(51) 3350-5033 / 3350-5042 / 99964-4919 (WhatsApp)",https://www.facebook.com/events/751086061895412,['Health'],16º Curso Capacitação em Avaliação Psicológica p/ Porte de Arma,Núcleo Médico Psicológico,,,,
['ITIPOA'],"Rua Ramiro Barcelos, 1517 cj 208, 90035-002 Porto Alegre",['2019-01-16 12:00:00'],"Coordenação: Marli Bergel – Psicanalista pela SPPA, Docente do ITIPOA.<br>Objetivos:  Apresentar as principais contribuições do autor à Psicanálise Contemporânea. René Roussillon é psicanalista didata da Sociedade Psicanalítica de Paris (SPP), residente em Lyon.<br> <br>Público Alvo: Profissionais e Estudantes de Psicologia e Medicina<br> <br>Duração:  2  encontros<br> <br>Datas e Horários: 9 e 16/01/2019<br>Quartas  – Das 12h às 13h30<br> <br>Carga Horária: 3h<br>Valores:<br>Estudante da Graduação – R$ 60,00<br>Sócio do ITIPOA – R$ 80,00<br>Profissional – R$ 100,00<br>Inscrições até  02/01/2019, no ITIPOA, desconto de 5%<br>Programa:<br>Teoria da simbolização: a simbolização primária; As patologias narcísico-identitárias; Destrutividade e experiência traumática primária",https://www.facebook.com/events/199466364324995,['Health'],René Roussillon conversando com Freud e Winnicott,ITIPOA,,,,
['ITIPOA'],3 days ago,['2019-01-09 08:30:00'],"Coordenação: Vládia Schmidt – Psicóloga Clínica. Docente no Curso de Psicologia da FADERGS, Docente no Curso de Especialização de Psicoterapia de Orientação Psicanalítica da Infância e Adolescência  – ITIPOA.<br> <br>Objetivos: Dentro do atendimento infantil o preparo do consultório é fundamental. A sala precisa ser confortável e segura para receber as crianças. Além destes cuidados, outro importante item é a caixa de brinquedos individual. Este espaço conterá não só os brinquedos e materiais utilizados no tratamento, mas também a caixa representará toda a projeção das fantasias inconscientes da criança.<br>O curso se propõe a abordar como se monta a caixa de brinquedos e aprofundar sua importância na psicoterapia infantil.<br> <br>Público Alvo: Psicólogos e estudantes de Psicologia<br> <br>Duração: 1 encontro<br>Data e Horário: Quarta- feira, 9/01/2019<br>Das 8h30 às 11h30<br>Carga Horária: 3h<br>Valores:<br>Estudante da Graduação – R$ 60,00<br>Sócio do ITIPOA – R$ 80,00<br>Profissional – R$ 100,00<br>Inscrições até  02/01/2019, no ITIPOA, desconto de 5%<br>Programa<br>– Como se monta a Caixa de Brinquedos – Como é feito o contrato com a criança a partir da caixa.<br>–  Quais significados simbólicos a existência da caixa desperta no paciente.",https://www.facebook.com/events/352593428832118,['Health'],Como montar uma caixa de brinquedos?,ITIPOA,,,,
